Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest_With TestOps Vision,Chrome 100.0.4896.88,,,2022-04-14 11:14:14,2022-04-14 11:14:42,28.106s,FAILED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Vision,Chrome 100.0.4896.88,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2022-04-14 11:14:14,2022-04-14 11:14:34,19.509s,FAILED
"comment(""Story: Login to CURA system"")",Chrome 100.0.4896.88,,,2022-04-14 11:14:16,2022-04-14 11:14:16,0.313s,PASSED
"comment(""Given that the user has the valid login information"")",Chrome 100.0.4896.88,,,2022-04-14 11:14:16,2022-04-14 11:14:16,0.021s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.88,,,2022-04-14 11:14:16,2022-04-14 11:14:29,12.665s,PASSED
maximizeWindow(),Chrome 100.0.4896.88,,,2022-04-14 11:14:29,2022-04-14 11:14:29,0.194s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Chrome 100.0.4896.88,,,2022-04-14 11:14:29,2022-04-14 11:14:30,1.109s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog Origin"", LoginObject)",Chrome 100.0.4896.88,,,2022-04-14 11:14:30,2022-04-14 11:14:31,1.164s,FAILED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.88,,,2022-04-14 11:14:31,2022-04-14 11:14:31,0.085s,PASSED
Video,Chrome 100.0.4896.88,,,2022-04-14 11:14:34,2022-04-14 11:14:34,0.001s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment_With TestOps Vision,Chrome 100.0.4896.88,"Verify if users can book an appointment sucessfully.
Pre-condition: Users have already logged in

Steps:
- Fill in appoinment's information
- Click on appointment's button

Expected results:
Appointment Confirmation page is displayed",,2022-04-14 11:14:34,2022-04-14 11:14:42,8.010s,FAILED
"comment(""Story: Book an appointment"")",Chrome 100.0.4896.88,,,2022-04-14 11:14:35,2022-04-14 11:14:35,0.009s,PASSED
"comment(""Given that the user has logged into their account"")",Chrome 100.0.4896.88,,,2022-04-14 11:14:35,2022-04-14 11:14:35,0.004s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.88,,,2022-04-14 11:14:35,2022-04-14 11:14:39,4.150s,FAILED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.88,,,2022-04-14 11:14:39,2022-04-14 11:14:40,0.087s,PASSED
Video,Chrome 100.0.4896.88,,,2022-04-14 11:14:42,2022-04-14 11:14:42,0.000s,PASSED
