Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest_With TestOps Vision,Chrome 100.0.4896.75,,,2022-04-07 15:58:28,2022-04-07 15:58:50,22.050s,FAILED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2022-04-07 15:58:28,2022-04-07 15:58:43,14.541s,FAILED
"comment(""Story: Login to CURA system"")",Chrome 100.0.4896.75,,,2022-04-07 15:58:29,2022-04-07 15:58:30,0.130s,PASSED
"comment(""Given that the user has the valid login information"")",Chrome 100.0.4896.75,,,2022-04-07 15:58:30,2022-04-07 15:58:30,0.011s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 15:58:30,2022-04-07 15:58:38,8.490s,PASSED
maximizeWindow(),Chrome 100.0.4896.75,,,2022-04-07 15:58:38,2022-04-07 15:58:38,0.297s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Chrome 100.0.4896.75,,,2022-04-07 15:58:38,2022-04-07 15:58:39,0.971s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog Origin"", LoginObject)",Chrome 100.0.4896.75,,,2022-04-07 15:58:39,2022-04-07 15:58:40,1.010s,FAILED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 15:58:40,2022-04-07 15:58:40,0.080s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 15:58:43,2022-04-07 15:58:43,0.001s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can book an appointment sucessfully.
Pre-condition: Users have already logged in

Steps:
- Fill in appoinment's information
- Click on appointment's button

Expected results:
Appointment Confirmation page is displayed",,2022-04-07 15:58:43,2022-04-07 15:58:50,7.173s,FAILED
"comment(""Story: Book an appointment"")",Chrome 100.0.4896.75,,,2022-04-07 15:58:43,2022-04-07 15:58:43,0.004s,PASSED
"comment(""Given that the user has logged into their account"")",Chrome 100.0.4896.75,,,2022-04-07 15:58:43,2022-04-07 15:58:43,0.003s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 15:58:43,2022-04-07 15:58:48,4.372s,FAILED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 15:58:48,2022-04-07 15:58:48,0.063s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 15:58:50,2022-04-07 15:58:50,0.001s,PASSED
