Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest_With TestOps Vision,Chrome 100.0.4896.75,,,2022-04-07 15:21:56,2022-04-07 15:22:27,30.524s,FAILED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2022-04-07 15:21:57,2022-04-07 15:22:19,22.595s,FAILED
"comment(""Story: Login to CURA system"")",Chrome 100.0.4896.75,,,2022-04-07 15:22:00,2022-04-07 15:22:00,0.297s,PASSED
"comment(""Given that the user has the valid login information"")",Chrome 100.0.4896.75,,,2022-04-07 15:22:00,2022-04-07 15:22:00,0.014s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 15:22:00,2022-04-07 15:22:11,11.430s,PASSED
maximizeWindow(),Chrome 100.0.4896.75,,,2022-04-07 15:22:11,2022-04-07 15:22:12,0.283s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Chrome 100.0.4896.75,,,2022-04-07 15:22:12,2022-04-07 15:22:13,0.869s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog Origin"", LoginObject)",Chrome 100.0.4896.75,,,2022-04-07 15:22:13,2022-04-07 15:22:14,1.368s,PASSED
"setText(findTestObject(""Page_Login/txt_UserName""), Username)",Chrome 100.0.4896.75,,,2022-04-07 15:22:14,2022-04-07 15:22:17,3.262s,FAILED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 15:22:17,2022-04-07 15:22:17,0.147s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 15:22:19,2022-04-07 15:22:19,0.001s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can book an appointment sucessfully.
Pre-condition: Users have already logged in

Steps:
- Fill in appoinment's information
- Click on appointment's button

Expected results:
Appointment Confirmation page is displayed",,2022-04-07 15:22:19,2022-04-07 15:22:27,7.398s,FAILED
"comment(""Story: Book an appointment"")",Chrome 100.0.4896.75,,,2022-04-07 15:22:20,2022-04-07 15:22:20,0.005s,PASSED
"comment(""Given that the user has logged into their account"")",Chrome 100.0.4896.75,,,2022-04-07 15:22:20,2022-04-07 15:22:20,0.007s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 15:22:20,2022-04-07 15:22:25,4.122s,FAILED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 15:22:25,2022-04-07 15:22:25,0.174s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 15:22:27,2022-04-07 15:22:27,0.001s,PASSED
