Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest_With TestOps Vision,Chrome 100.0.4896.75,,,2022-04-07 15:17:48,2022-04-07 15:18:17,29.316s,FAILED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2022-04-07 15:17:48,2022-04-07 15:18:09,20.823s,FAILED
"comment(""Story: Login to CURA system"")",Chrome 100.0.4896.75,,,2022-04-07 15:17:51,2022-04-07 15:17:51,0.246s,PASSED
"comment(""Given that the user has the valid login information"")",Chrome 100.0.4896.75,,,2022-04-07 15:17:51,2022-04-07 15:17:51,0.006s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 15:17:51,2022-04-07 15:18:01,10.145s,PASSED
maximizeWindow(),Chrome 100.0.4896.75,,,2022-04-07 15:18:01,2022-04-07 15:18:01,0.172s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Chrome 100.0.4896.75,,,2022-04-07 15:18:01,2022-04-07 15:18:02,1.066s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog Origin"", LoginObject)",Chrome 100.0.4896.75,,,2022-04-07 15:18:02,2022-04-07 15:18:04,1.779s,PASSED
"setText(findTestObject(""Page_Login/txt_UserName""), Username)",Chrome 100.0.4896.75,,,2022-04-07 15:18:04,2022-04-07 15:18:07,2.632s,FAILED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 15:18:07,2022-04-07 15:18:07,0.166s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 15:18:09,2022-04-07 15:18:09,0.001s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can book an appointment sucessfully.
Pre-condition: Users have already logged in

Steps:
- Fill in appoinment's information
- Click on appointment's button

Expected results:
Appointment Confirmation page is displayed",,2022-04-07 15:18:09,2022-04-07 15:18:17,7.846s,FAILED
"comment(""Story: Book an appointment"")",Chrome 100.0.4896.75,,,2022-04-07 15:18:11,2022-04-07 15:18:11,0.009s,PASSED
"comment(""Given that the user has logged into their account"")",Chrome 100.0.4896.75,,,2022-04-07 15:18:11,2022-04-07 15:18:11,0.008s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 15:18:11,2022-04-07 15:18:15,4.110s,FAILED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 15:18:15,2022-04-07 15:18:15,0.116s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 15:18:17,2022-04-07 15:18:17,0.000s,PASSED
