Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest_With TestOps Vision,Chrome 100.0.4896.75,,,2022-04-07 12:04:57,2022-04-07 12:05:34,37.231s,FAILED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2022-04-07 12:04:58,2022-04-07 12:05:26,27.458s,FAILED
"comment(""Story: Login to CURA system"")",Chrome 100.0.4896.75,,,2022-04-07 12:05:01,2022-04-07 12:05:02,0.489s,PASSED
"comment(""Given that the user has the valid login information"")",Chrome 100.0.4896.75,,,2022-04-07 12:05:02,2022-04-07 12:05:02,0.012s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 12:05:02,2022-04-07 12:05:15,13.637s,PASSED
maximizeWindow(),Chrome 100.0.4896.75,,,2022-04-07 12:05:15,2022-04-07 12:05:16,0.208s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Chrome 100.0.4896.75,,,2022-04-07 12:05:16,2022-04-07 12:05:17,0.958s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog Origin"", LoginObject)",Chrome 100.0.4896.75,,,2022-04-07 12:05:17,2022-04-07 12:05:19,2.198s,PASSED
"setText(findTestObject(""Page_Login/txt_UserName""), Username)",Chrome 100.0.4896.75,,,2022-04-07 12:05:19,2022-04-07 12:05:21,1.874s,PASSED
"setText(findTestObject(""Page_Login/txt_Password""), Password)",Chrome 100.0.4896.75,,,2022-04-07 12:05:21,2022-04-07 12:05:21,0.697s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog With Data"", LoginObject)",Chrome 100.0.4896.75,,,2022-04-07 12:05:21,2022-04-07 12:05:23,1.553s,FAILED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 12:05:23,2022-04-07 12:05:23,0.480s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 12:05:26,2022-04-07 12:05:26,0.012s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can book an appointment sucessfully.
Pre-condition: Users have already logged in

Steps:
- Fill in appoinment's information
- Click on appointment's button

Expected results:
Appointment Confirmation page is displayed",,2022-04-07 12:05:26,2022-04-07 12:05:34,8.755s,FAILED
"comment(""Story: Book an appointment"")",Chrome 100.0.4896.75,,,2022-04-07 12:05:28,2022-04-07 12:05:28,0.130s,PASSED
"comment(""Given that the user has logged into their account"")",Chrome 100.0.4896.75,,,2022-04-07 12:05:28,2022-04-07 12:05:28,0.021s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 12:05:28,2022-04-07 12:05:32,4.157s,FAILED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 12:05:32,2022-04-07 12:05:32,0.280s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 12:05:34,2022-04-07 12:05:34,0.002s,PASSED
