Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest_With TestOps Vision,,,,2022-04-19 15:13:43,2022-04-19 15:13:50,7.172s,FAILED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Vision,,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2022-04-19 15:13:44,2022-04-19 15:13:48,4.001s,FAILED
"comment(""Story: Login to CURA system"")",,,,2022-04-19 15:13:45,2022-04-19 15:13:45,0.093s,PASSED
"comment(""Given that the user has the valid login information"")",,,,2022-04-19 15:13:45,2022-04-19 15:13:45,0.006s,PASSED
openBrowser(G_SiteURL),,,,2022-04-19 15:13:45,2022-04-19 15:13:45,0.599s,FAILED
Start listener action : terminateRunningWebDrivers,,,,2022-04-19 15:13:45,2022-04-19 15:13:45,0.168s,PASSED
Video,,,,2022-04-19 15:13:48,2022-04-19 15:13:48,0.001s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment_With TestOps Vision,,"Verify if users can book an appointment sucessfully.
Pre-condition: Users have already logged in

Steps:
- Fill in appoinment's information
- Click on appointment's button

Expected results:
Appointment Confirmation page is displayed",,2022-04-19 15:13:48,2022-04-19 15:13:50,2.798s,FAILED
"comment(""Story: Book an appointment"")",,,,2022-04-19 15:13:48,2022-04-19 15:13:48,0.005s,PASSED
"comment(""Given that the user has logged into their account"")",,,,2022-04-19 15:13:48,2022-04-19 15:13:48,0.004s,PASSED
openBrowser(G_SiteURL),,,,2022-04-19 15:13:48,2022-04-19 15:13:48,0.012s,FAILED
Start listener action : terminateRunningWebDrivers,,,,2022-04-19 15:13:48,2022-04-19 15:13:48,0.074s,PASSED
Video,,,,2022-04-19 15:13:50,2022-04-19 15:13:50,0.001s,PASSED
