Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest_With TestOps Vision,Chrome 100.0.4896.75,,,2022-04-07 12:29:42,2022-04-07 12:30:36,53.845s,FAILED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2022-04-07 12:29:43,2022-04-07 12:30:21,38.057s,PASSED
"comment(""Story: Login to CURA system"")",Chrome 100.0.4896.75,,,2022-04-07 12:29:46,2022-04-07 12:29:46,0.167s,PASSED
"comment(""Given that the user has the valid login information"")",Chrome 100.0.4896.75,,,2022-04-07 12:29:46,2022-04-07 12:29:46,0.006s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 12:29:46,2022-04-07 12:30:07,21.552s,PASSED
maximizeWindow(),Chrome 100.0.4896.75,,,2022-04-07 12:30:07,2022-04-07 12:30:08,0.176s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Chrome 100.0.4896.75,,,2022-04-07 12:30:08,2022-04-07 12:30:09,1.168s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog Origin"", LoginObject)",Chrome 100.0.4896.75,,,2022-04-07 12:30:09,2022-04-07 12:30:12,2.855s,PASSED
"setText(findTestObject(""Page_Login/txt_UserName""), Username)",Chrome 100.0.4896.75,,,2022-04-07 12:30:12,2022-04-07 12:30:13,1.486s,PASSED
"setText(findTestObject(""Page_Login/txt_Password""), Password)",Chrome 100.0.4896.75,,,2022-04-07 12:30:13,2022-04-07 12:30:14,0.886s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog With Data"", LoginObject)",Chrome 100.0.4896.75,,,2022-04-07 12:30:14,2022-04-07 12:30:15,1.190s,PASSED
"comment(""When he logins to CURA system"")",Chrome 100.0.4896.75,,,2022-04-07 12:30:15,2022-04-07 12:30:15,0.013s,PASSED
"click(findTestObject(""Page_Login/btn_Login""))",Chrome 100.0.4896.75,,,2022-04-07 12:30:15,2022-04-07 12:30:17,1.498s,PASSED
"comment(""Then he should be able to login successfully"")",Chrome 100.0.4896.75,,,2022-04-07 12:30:17,2022-04-07 12:30:17,0.005s,PASSED
"landingPage = verifyElementPresent(findTestObject(""Page_CuraAppointment/div_Appointment""), G_Timeout)",Chrome 100.0.4896.75,,,2022-04-07 12:30:17,2022-04-07 12:30:17,0.491s,PASSED
closeBrowser(),Chrome 100.0.4896.75,,,2022-04-07 12:30:17,2022-04-07 12:30:18,1.267s,PASSED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 12:30:18,2022-04-07 12:30:19,0.152s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 12:30:21,2022-04-07 12:30:21,0.002s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can book an appointment sucessfully.
Pre-condition: Users have already logged in

Steps:
- Fill in appoinment's information
- Click on appointment's button

Expected results:
Appointment Confirmation page is displayed",,2022-04-07 12:30:21,2022-04-07 12:30:36,14.760s,FAILED
"comment(""Story: Book an appointment"")",Chrome 100.0.4896.75,,,2022-04-07 12:30:23,2022-04-07 12:30:23,0.010s,PASSED
"comment(""Given that the user has logged into their account"")",Chrome 100.0.4896.75,,,2022-04-07 12:30:23,2022-04-07 12:30:23,0.004s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 12:30:23,2022-04-07 12:30:31,8.282s,PASSED
maximizeWindow(),Chrome 100.0.4896.75,,,2022-04-07 12:30:31,2022-04-07 12:30:33,2.233s,FAILED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 12:30:33,2022-04-07 12:30:33,0.169s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 12:30:36,2022-04-07 12:30:36,0.001s,PASSED
