Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest_With TestOps Vision,Chrome 100.0.4896.75,,,2022-04-07 13:51:27,2022-04-07 13:52:21,53.909s,FAILED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2022-04-07 13:51:29,2022-04-07 13:52:05,36.374s,FAILED
"comment(""Story: Login to CURA system"")",Chrome 100.0.4896.75,,,2022-04-07 13:51:34,2022-04-07 13:51:34,0.471s,PASSED
"comment(""Given that the user has the valid login information"")",Chrome 100.0.4896.75,,,2022-04-07 13:51:34,2022-04-07 13:51:34,0.008s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 13:51:34,2022-04-07 13:51:59,25.075s,PASSED
maximizeWindow(),Chrome 100.0.4896.75,,,2022-04-07 13:51:59,2022-04-07 13:52:00,0.515s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Chrome 100.0.4896.75,,,2022-04-07 13:52:00,2022-04-07 13:52:03,3.256s,FAILED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 13:52:03,2022-04-07 13:52:03,0.218s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 13:52:05,2022-04-07 13:52:05,0.002s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can book an appointment sucessfully.
Pre-condition: Users have already logged in

Steps:
- Fill in appoinment's information
- Click on appointment's button

Expected results:
Appointment Confirmation page is displayed",,2022-04-07 13:52:05,2022-04-07 13:52:21,15.621s,FAILED
"comment(""Story: Book an appointment"")",Chrome 100.0.4896.75,,,2022-04-07 13:52:15,2022-04-07 13:52:15,0.011s,PASSED
"comment(""Given that the user has logged into their account"")",Chrome 100.0.4896.75,,,2022-04-07 13:52:15,2022-04-07 13:52:15,0.006s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 13:52:15,2022-04-07 13:52:19,4.243s,FAILED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 13:52:19,2022-04-07 13:52:19,0.150s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 13:52:21,2022-04-07 13:52:21,0.001s,PASSED
