Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest_With TestOps Vision,Chrome 100.0.4896.75,,,2022-04-07 12:04:51,2022-04-07 12:05:35,44.022s,FAILED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2022-04-07 12:04:52,2022-04-07 12:05:24,31.920s,PASSED
"comment(""Story: Login to CURA system"")",Chrome 100.0.4896.75,,,2022-04-07 12:04:55,2022-04-07 12:04:55,0.227s,PASSED
"comment(""Given that the user has the valid login information"")",Chrome 100.0.4896.75,,,2022-04-07 12:04:55,2022-04-07 12:04:55,0.017s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 12:04:55,2022-04-07 12:05:10,14.707s,PASSED
maximizeWindow(),Chrome 100.0.4896.75,,,2022-04-07 12:05:10,2022-04-07 12:05:10,0.199s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Chrome 100.0.4896.75,,,2022-04-07 12:05:10,2022-04-07 12:05:12,1.429s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog Origin"", LoginObject)",Chrome 100.0.4896.75,,,2022-04-07 12:05:12,2022-04-07 12:05:14,2.510s,PASSED
"setText(findTestObject(""Page_Login/txt_UserName""), Username)",Chrome 100.0.4896.75,,,2022-04-07 12:05:14,2022-04-07 12:05:16,1.429s,PASSED
"setText(findTestObject(""Page_Login/txt_Password""), Password)",Chrome 100.0.4896.75,,,2022-04-07 12:05:16,2022-04-07 12:05:17,0.907s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog With Data"", LoginObject)",Chrome 100.0.4896.75,,,2022-04-07 12:05:17,2022-04-07 12:05:18,1.624s,PASSED
"comment(""When he logins to CURA system"")",Chrome 100.0.4896.75,,,2022-04-07 12:05:18,2022-04-07 12:05:18,0.040s,PASSED
"click(findTestObject(""Page_Login/btn_Login""))",Chrome 100.0.4896.75,,,2022-04-07 12:05:18,2022-04-07 12:05:20,1.788s,PASSED
"comment(""Then he should be able to login successfully"")",Chrome 100.0.4896.75,,,2022-04-07 12:05:20,2022-04-07 12:05:20,0.002s,PASSED
"landingPage = verifyElementPresent(findTestObject(""Page_CuraAppointment/div_Appointment""), G_Timeout)",Chrome 100.0.4896.75,,,2022-04-07 12:05:20,2022-04-07 12:05:21,0.437s,PASSED
closeBrowser(),Chrome 100.0.4896.75,,,2022-04-07 12:05:21,2022-04-07 12:05:22,1.251s,PASSED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 12:05:22,2022-04-07 12:05:22,0.175s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 12:05:24,2022-04-07 12:05:24,0.001s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can book an appointment sucessfully.
Pre-condition: Users have already logged in

Steps:
- Fill in appoinment's information
- Click on appointment's button

Expected results:
Appointment Confirmation page is displayed",,2022-04-07 12:05:24,2022-04-07 12:05:35,11.262s,FAILED
"comment(""Story: Book an appointment"")",Chrome 100.0.4896.75,,,2022-04-07 12:05:26,2022-04-07 12:05:26,0.008s,PASSED
"comment(""Given that the user has logged into their account"")",Chrome 100.0.4896.75,,,2022-04-07 12:05:26,2022-04-07 12:05:26,0.005s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 12:05:26,2022-04-07 12:05:33,7.415s,FAILED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 12:05:33,2022-04-07 12:05:33,0.208s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 12:05:35,2022-04-07 12:05:35,0.001s,PASSED
