Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest_With TestOps Vision,Firefox 98.0,,,2022-04-19 15:31:59,2022-04-19 15:32:18,19.596s,FAILED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Vision,Firefox 98.0,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2022-04-19 15:31:59,2022-04-19 15:32:12,12.693s,FAILED
"comment(""Story: Login to CURA system"")",Firefox 98.0,,,2022-04-19 15:32:01,2022-04-19 15:32:01,0.163s,PASSED
"comment(""Given that the user has the valid login information"")",Firefox 98.0,,,2022-04-19 15:32:01,2022-04-19 15:32:01,0.006s,PASSED
openBrowser(G_SiteURL),Firefox 98.0,,,2022-04-19 15:32:01,2022-04-19 15:32:09,8.078s,PASSED
maximizeWindow(),Firefox 98.0,,,2022-04-19 15:32:09,2022-04-19 15:32:09,0.236s,FAILED
Start listener action : terminateRunningWebDrivers,Firefox 98.0,,,2022-04-19 15:32:09,2022-04-19 15:32:10,0.147s,PASSED
Video,Firefox 98.0,,,2022-04-19 15:32:12,2022-04-19 15:32:12,0.001s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment_With TestOps Vision,Firefox 98.0,"Verify if users can book an appointment sucessfully.
Pre-condition: Users have already logged in

Steps:
- Fill in appoinment's information
- Click on appointment's button

Expected results:
Appointment Confirmation page is displayed",,2022-04-19 15:32:12,2022-04-19 15:32:18,6.556s,FAILED
"comment(""Story: Book an appointment"")",Firefox 98.0,,,2022-04-19 15:32:13,2022-04-19 15:32:13,0.015s,PASSED
"comment(""Given that the user has logged into their account"")",Firefox 98.0,,,2022-04-19 15:32:13,2022-04-19 15:32:13,0.013s,PASSED
openBrowser(G_SiteURL),Firefox 98.0,,,2022-04-19 15:32:13,2022-04-19 15:32:16,3.163s,FAILED
Start listener action : terminateRunningWebDrivers,Firefox 98.0,,,2022-04-19 15:32:16,2022-04-19 15:32:16,0.096s,PASSED
Video,Firefox 98.0,,,2022-04-19 15:32:18,2022-04-19 15:32:18,0.001s,PASSED
