Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest_With TestOps Vision,Chrome 100.0.4896.75,,,2022-04-07 13:52:26,2022-04-07 13:58:14,5m - 48.022s,FAILED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2022-04-07 13:52:28,2022-04-07 13:57:53,5m - 25.049s,FAILED
"comment(""Story: Login to CURA system"")",Chrome 100.0.4896.75,,,2022-04-07 13:52:34,2022-04-07 13:52:36,1.183s,PASSED
"comment(""Given that the user has the valid login information"")",Chrome 100.0.4896.75,,,2022-04-07 13:52:36,2022-04-07 13:52:36,0.008s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 13:52:36,2022-04-07 13:57:46,5m - 10.183s,FAILED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 13:57:46,2022-04-07 13:57:46,0.644s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 13:57:53,2022-04-07 13:57:53,0.016s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can book an appointment sucessfully.
Pre-condition: Users have already logged in

Steps:
- Fill in appoinment's information
- Click on appointment's button

Expected results:
Appointment Confirmation page is displayed",,2022-04-07 13:57:53,2022-04-07 13:58:14,20.228s,FAILED
"comment(""Story: Book an appointment"")",Chrome 100.0.4896.75,,,2022-04-07 13:58:06,2022-04-07 13:58:07,0.406s,PASSED
"comment(""Given that the user has logged into their account"")",Chrome 100.0.4896.75,,,2022-04-07 13:58:07,2022-04-07 13:58:07,0.009s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 13:58:07,2022-04-07 13:58:11,4.230s,FAILED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 13:58:11,2022-04-07 13:58:11,0.323s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 13:58:14,2022-04-07 13:58:14,0.001s,PASSED
