Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest_With TestOps Vision,Chrome 100.0.4896.75,,,2022-04-07 15:17:43,2022-04-07 15:18:18,34.961s,FAILED
,,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",,2022-04-07 15:17:44,2022-04-07 15:18:07,23.137s,PASSED
"comment(""Story: Login to CURA system"")",Chrome 100.0.4896.75,,,2022-04-07 15:17:45,2022-04-07 15:17:45,0.102s,PASSED
"comment(""Given that the user has the valid login information"")",Chrome 100.0.4896.75,,,2022-04-07 15:17:45,2022-04-07 15:17:45,0.006s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 15:17:45,2022-04-07 15:17:56,10.383s,PASSED
maximizeWindow(),Chrome 100.0.4896.75,,,2022-04-07 15:17:56,2022-04-07 15:17:56,0.179s,PASSED
"click(findTestObject(""Page_CuraHomepage/btn_MakeAppointment""))",Chrome 100.0.4896.75,,,2022-04-07 15:17:56,2022-04-07 15:17:57,0.966s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog Origin"", LoginObject)",Chrome 100.0.4896.75,,,2022-04-07 15:17:57,2022-04-07 15:17:58,1.454s,PASSED
"setText(findTestObject(""Page_Login/txt_UserName""), Username)",Chrome 100.0.4896.75,,,2022-04-07 15:17:58,2022-04-07 15:18:00,1.388s,PASSED
"setText(findTestObject(""Page_Login/txt_Password""), Password)",Chrome 100.0.4896.75,,,2022-04-07 15:18:00,2022-04-07 15:18:00,0.672s,PASSED
"takeElementScreenshotAsCheckpoint(""Login Dialog With Data"", LoginObject)",Chrome 100.0.4896.75,,,2022-04-07 15:18:00,2022-04-07 15:18:02,1.225s,PASSED
"comment(""When he logins to CURA system"")",Chrome 100.0.4896.75,,,2022-04-07 15:18:02,2022-04-07 15:18:02,0.004s,PASSED
"click(findTestObject(""Page_Login/btn_Login""))",Chrome 100.0.4896.75,,,2022-04-07 15:18:02,2022-04-07 15:18:03,1.138s,PASSED
"comment(""Then he should be able to login successfully"")",Chrome 100.0.4896.75,,,2022-04-07 15:18:03,2022-04-07 15:18:03,0.004s,PASSED
"landingPage = verifyElementPresent(findTestObject(""Page_CuraAppointment/div_Appointment""), G_Timeout)",Chrome 100.0.4896.75,,,2022-04-07 15:18:03,2022-04-07 15:18:03,0.374s,PASSED
closeBrowser(),Chrome 100.0.4896.75,,,2022-04-07 15:18:03,2022-04-07 15:18:04,1.310s,PASSED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 15:18:04,2022-04-07 15:18:05,0.279s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 15:18:07,2022-04-07 15:18:07,0.002s,PASSED
,,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment_With TestOps Vision,Chrome 100.0.4896.75,"Verify if users can book an appointment sucessfully.
Pre-condition: Users have already logged in

Steps:
- Fill in appoinment's information
- Click on appointment's button

Expected results:
Appointment Confirmation page is displayed",,2022-04-07 15:18:07,2022-04-07 15:18:18,11.158s,FAILED
"comment(""Story: Book an appointment"")",Chrome 100.0.4896.75,,,2022-04-07 15:18:08,2022-04-07 15:18:08,0.010s,PASSED
"comment(""Given that the user has logged into their account"")",Chrome 100.0.4896.75,,,2022-04-07 15:18:08,2022-04-07 15:18:08,0.004s,PASSED
openBrowser(G_SiteURL),Chrome 100.0.4896.75,,,2022-04-07 15:18:08,2022-04-07 15:18:16,8.016s,FAILED
Start listener action : terminateRunningWebDrivers,Chrome 100.0.4896.75,,,2022-04-07 15:18:16,2022-04-07 15:18:16,0.102s,PASSED
Video,Chrome 100.0.4896.75,,,2022-04-07 15:18:18,2022-04-07 15:18:18,0.001s,PASSED
